Hex	Rank	Emoji	Year	Category	Subcategory	Name
\x{1F309}	388	🌉	2010	Travel & Places	place-other	bridge at night
\x{1F91B}	389	🤛	2016	People & Body	hand-fingers-closed	left-facing fist
\x{1F912}	390	🤒	2015	Smileys & Emotion	face-unwell	face with thermometer
\x{1F457}	391	👗	2010	Objects	clothing	dress
\x{26AA}	392	⚪	2010	Symbols	geometric	white circle
\x{1F332}	393	🌲	2015	Animals & Nature	plant-other	evergreen tree
\x{2611 FE0F}	394	☑️	2010	Symbols	other-symbol	check box with check
\x{1F35C}	395	🍜	2010	Food & Drink	food-asian	steaming bowl
\x{1F426}	396	🐦	2010	Animals & Nature	animal-bird	bird
\x{1F36F}	397	🍯	2010	Food & Drink	food-sweet	honey pot
\x{1F46E}	398	👮	2010	People & Body	person-role	police officer
\x{1F3C5}	399	🏅	2015	Activities	award-medal	sports medal
\x{1F43C}	400	🐼	2010	Animals & Nature	animal-mammal	panda
\x{1F484}	401	💄	2010	Objects	clothing	lipstick
\x{1F47A}	402	👺	2010	Smileys & Emotion	face-costume	goblin
\x{1F51E}	403	🔞	2010	Symbols	warning	no one under eighteen
\x{1F386}	404	🎆	2010	Activities	event	fireworks
\x{1F3A8}	405	🎨	2010	Activities	arts & crafts	artist palette
\x{1F1E7 1F1F7}	406	🇧🇷	2015	Flags	country-flag	flag: Brazil
\x{1F35E}	407	🍞	2010	Food & Drink	food-prepared	bread
\x{1F387}	408	🎇	2010	Activities	event	sparkler
\x{1F99C}	409	🦜	2018	Animals & Nature	animal-bird	parrot
\x{1F411}	410	🐑	2010	Animals & Nature	animal-mammal	ewe
\x{1F419}	411	🐙	2010	Animals & Nature	animal-marine	octopus
\x{1F98D}	412	🦍	2016	Animals & Nature	animal-mammal	gorilla
\x{1F1FA 1F1F2}	413	🇺🇲	2015	Flags	country-flag	flag: U.S. Outlying Islands
\x{1F517}	414	🔗	2010	Objects	tool	link
\x{1F4D6}	415	📖	2010	Objects	book-paper	open book
\x{267B FE0F}	416	♻️	2010	Symbols	other-symbol	recycling symbol
\x{1F539}	417	🔹	2010	Symbols	geometric	small blue diamond
\x{1F953}	418	🥓	2016	Food & Drink	food-prepared	bacon
\x{1F952}	419	🥒	2016	Food & Drink	food-vegetable	cucumber
\x{1F378}	420	🍸	2010	Food & Drink	drink	cocktail glass
\x{1F967}	421	🥧	2017	Food & Drink	food-sweet	pie
\x{2668 FE0F}	422	♨️	2010	Travel & Places	place-other	hot springs
\x{1F4BB}	423	💻	2010	Objects	computer	laptop
\x{1F416}	424	🐖	2015	Animals & Nature	animal-mammal	pig
\x{2694 FE0F}	425	⚔️	2015	Objects	tool	crossed swords
\x{1F4C8}	426	📈	2010	Objects	office	chart increasing
\x{26F1 FE0F}	427	⛱️	2014	Travel & Places	sky & weather	umbrella on ground
\x{1F48A}	428	💊	2010	Objects	medical	pill
\x{1F469}	429	👩	2010	People & Body	person	woman
\x{1F300}	430	🌀	2010	Travel & Places	sky & weather	cyclone
\x{1F486}	431	💆	2010	People & Body	person-activity	person getting massage
\x{1F969}	432	🥩	2017	Food & Drink	food-prepared	cut of meat
\x{1F384}	433	🎄	2010	Activities	event	Christmas tree
\x{1F33D}	434	🌽	2010	Food & Drink	food-vegetable	ear of corn
\x{1F925}	435	🤥	2016	Smileys & Emotion	face-neutral-skeptical	lying face
\x{1F3D8 FE0F}	436	🏘️	2014	Travel & Places	place-building	houses
\x{1F40E}	437	🐎	2010	Animals & Nature	animal-mammal	horse
\x{1F198}	438	🆘	2010	Symbols	alphanum	SOS button
\x{1F1EE 1F1F3}	439	🇮🇳	2015	Flags	country-flag	flag: India
\x{31 FE0F 20E3}	440	1️⃣	2010	Symbols	keycap	keycap: 1
\x{1F56F FE0F}	441	🕯️	2014	Objects	light & video	candle
\x{1F1E8 1F1E6}	442	🇨🇦	2015	Flags	country-flag	flag: Canada
\x{1F48F}	443	💏	2010	People & Body	family	kiss
\x{1F955}	444	🥕	2016	Food & Drink	food-vegetable	carrot
\x{1F5D1 FE0F}	445	🗑️	2014	Objects	office	wastebasket
\x{1F52E}	446	🔮	2010	Activities	game	crystal ball
\x{1F980}	447	🦀	2015	Food & Drink	food-marine	crab
\x{1F420}	448	🐠	2010	Animals & Nature	animal-marine	tropical fish
\x{1F31B}	449	🌛	2010	Travel & Places	sky & weather	first quarter moon face
\x{1F460}	450	👠	2010	Objects	clothing	high-heeled shoe
\x{262E FE0F}	451	☮️	2015	Symbols	religion	peace symbol
\x{1F413}	452	🐓	2015	Animals & Nature	animal-bird	rooster
\x{1F94A}	453	🥊	2016	Activities	sport	boxing glove
\x{1F1F9 1F1F7}	454	🇹🇷	2015	Flags	country-flag	flag: Turkey
\x{1F6D0}	455	🛐	2015	Symbols	religion	place of worship
\x{1F6AC}	456	🚬	2010	Objects	other-object	cigarette
\x{1F530}	457	🔰	2010	Symbols	other-symbol	Japanese symbol for beginner
\x{1F31C}	458	🌜	2014	Travel & Places	sky & weather	last quarter moon face
\x{1F374}	459	🍴	2010	Food & Drink	dishware	fork and knife
\x{1F954}	460	🥔	2016	Food & Drink	food-vegetable	potato
\x{1F393}	461	🎓	2010	Objects	clothing	graduation cap
\x{1F459}	462	👙	2010	Objects	clothing	bikini
\x{1F5FF}	463	🗿	2010	Objects	other-object	moai
\x{1F951}	464	🥑	2016	Food & Drink	food-vegetable	avocado
\x{1F46F}	465	👯	2010	People & Body	person-activity	people with bunny ears
\x{1F34D}	466	🍍	2010	Food & Drink	food-fruit	pineapple
\x{26FD}	467	⛽	2010	Travel & Places	transport-ground	fuel pump
\x{1F3C1}	468	🏁	2010	Flags	flag	chequered flag
\x{1F442}	469	👂	2010	People & Body	body-parts	ear
\x{1F98A}	470	🦊	2016	Animals & Nature	animal-mammal	fox
\x{1F443}	471	👃	2010	People & Body	body-parts	nose
\x{1F996}	472	🦖	2017	Animals & Nature	animal-reptile	T-Rex
\x{1F434}	473	🐴	2010	Animals & Nature	animal-mammal	horse face
\x{2709 FE0F}	474	✉️	2010	Objects	mail	envelope
\x{1F383}	475	🎃	2010	Activities	event	jack-o-lantern
\x{1F336 FE0F}	476	🌶️	2014	Food & Drink	food-vegetable	hot pepper
\x{1F9A0}	477	🦠	2018	Animals & Nature	animal-bug	microbe
\x{1F315}	478	🌕	2010	Travel & Places	sky & weather	full moon
\x{1F4E6}	479	📦	2010	Objects	mail	package
\x{1F30C}	480	🌌	2010	Travel & Places	sky & weather	milky way
\x{26F3}	481	⛳	2010	Activities	sport	flag in hole
\x{1F367}	482	🍧	2010	Food & Drink	food-sweet	shaved ice
\x{1F35F}	483	🍟	2010	Food & Drink	food-prepared	french fries
\x{26B0 FE0F}	484	⚰️	2015	Objects	other-object	coffin
\x{1F3B9}	485	🎹	2010	Objects	musical-instrument	musical keyboard
\x{1F43F FE0F}	486	🐿️	2014	Animals & Nature	animal-mammal	chipmunk
\x{1F1F2 1F1FD}	487	🇲🇽	2015	Flags	country-flag	flag: Mexico
\x{1F95E}	488	🥞	2016	Food & Drink	food-prepared	pancakes
\x{32 FE0F 20E3}	489	2️⃣	2010	Symbols	keycap	keycap: 2
\x{1F463}	490	👣	2010	People & Body	person-symbol	footprints
\x{1F37D FE0F}	491	🍽️	2014	Food & Drink	dishware	fork and knife with plate
\x{1F95C}	492	🥜	2016	Food & Drink	food-vegetable	peanuts
\x{1F573 FE0F}	493	🕳️	2014	Smileys & Emotion	emotion	hole
\x{1F361}	494	🍡	2010	Food & Drink	food-asian	dango
\x{2935 FE0F}	495	⤵️	2010	Symbols	arrow	right arrow curving down
\x{1F9B7}	496	🦷	2018	People & Body	body-parts	tooth
\x{1F6B4}	497	🚴	2015	People & Body	person-sport	person biking
\x{1F35D}	498	🍝	2010	Food & Drink	food-asian	spaghetti
\x{1F3BB}	499	🎻	2010	Objects	musical-instrument	violin
\x{1F40A}	500	🐊	2015	Animals & Nature	animal-reptile	crocodile
\x{1F356}	501	🍖	2010	Food & Drink	food-prepared	meat on bone
\x{1F43A}	502	🐺	2010	Animals & Nature	animal-mammal	wolf
\x{1F43D}	503	🐽	2010	Animals & Nature	animal-mammal	pig nose
\x{1F6AE}	504	🚮	2015	Symbols	transport-sign	litter in bin sign
\x{1F375}	505	🍵	2010	Food & Drink	drink	teacup without handle
\x{1F32D}	506	🌭	2015	Food & Drink	food-prepared	hot dog
\x{1F404}	507	🐄	2015	Animals & Nature	animal-mammal	cow
\x{2B06 FE0F}	508	⬆️	2010	Symbols	arrow	up arrow
\x{1F941}	509	🥁	2016	Objects	musical-instrument	drum
\x{1F373}	510	🍳	2010	Food & Drink	food-prepared	cooking
\x{1F46B}	511	👫	2010	People & Body	family	woman and man holding hands
\x{231A}	512	⌚	2010	Travel & Places	time	watch
\x{2666 FE0F}	513	♦️	2010	Activities	game	diamond suit
\x{1F506}	514	🔆	2015	Symbols	av-symbol	bright button
\x{1F433}	515	🐳	2010	Animals & Nature	animal-marine	spouting whale
\x{1F32F}	516	🌯	2015	Food & Drink	food-prepared	burrito
\x{1F9B4}	517	🦴	2018	People & Body	body-parts	bone
\x{1F96A}	518	🥪	2017	Food & Drink	food-prepared	sandwich
\x{1F983}	519	🦃	2015	Animals & Nature	animal-bird	turkey
\x{1F3A3}	520	🎣	2010	Activities	sport	fishing pole
\x{1F53B}	521	🔻	2010	Symbols	geometric	red triangle pointed down
\x{1F400}	522	🐀	2015	Animals & Nature	animal-mammal	rat
\x{1F42C}	523	🐬	2010	Animals & Nature	animal-marine	dolphin
\x{1F35A}	524	🍚	2010	Food & Drink	food-asian	cooked rice
\x{1F916}	525	🤖	2015	Smileys & Emotion	face-costume	robot
\x{1F427}	526	🐧	2010	Animals & Nature	animal-bird	penguin
\x{1F988}	527	🦈	2016	Animals & Nature	animal-marine	shark
\x{1F3C4}	528	🏄	2010	People & Body	person-sport	person surfing
\x{1F3CB FE0F}	529	🏋️	2014	People & Body	person-sport	person lifting weights
\x{1F3C8}	530	🏈	2010	Activities	sport	american football
\x{1F9EC}	531	🧬	2018	Objects	science	dna
\x{1F310}	532	🌐	2015	Travel & Places	place-map	globe with meridians
\x{1F50D}	533	🔍	2010	Objects	light & video	magnifying glass tilted left
\x{2604 FE0F}	534	☄️	2015	Travel & Places	sky & weather	comet
\x{1F4F4}	535	📴	2010	Symbols	av-symbol	mobile phone off
\x{1F966}	536	🥦	2017	Food & Drink	food-vegetable	broccoli
\x{1F42F}	537	🐯	2010	Animals & Nature	animal-mammal	tiger face
\x{1F170 FE0F}	538	🅰️	2010	Symbols	alphanum	A button (blood type)
\x{267E FE0F}	539	♾️	2018	Symbols	math	infinity
\x{1F4EE}	540	📮	2010	Objects	mail	postbox
\x{1F95B}	541	🥛	2016	Food & Drink	drink	glass of milk
\x{1F96D}	542	🥭	2018	Food & Drink	food-fruit	mango
\x{1F596}	543	🖖	2015	People & Body	hand-fingers-open	vulcan salute
\x{1F41B}	544	🐛	2010	Animals & Nature	animal-bug	bug
\x{1F99E}	545	🦞	2018	Food & Drink	food-marine	lobster
\x{1F1EE 1F1F9}	546	🇮🇹	2010	Flags	country-flag	flag: Italy
\x{1F424}	547	🐤	2010	Animals & Nature	animal-bird	baby chick
\x{1F9DF}	548	🧟	2017	People & Body	person-fantasy	zombie
\x{1F364}	549	🍤	2010	Food & Drink	food-asian	fried shrimp
\x{1F990}	550	🦐	2016	Food & Drink	food-marine	shrimp
\x{1F3AD}	551	🎭	2010	Activities	arts & crafts	performing arts
\x{1F41E}	552	🐞	2010	Animals & Nature	animal-bug	lady beetle
\x{1F435}	553	🐵	2010	Animals & Nature	animal-mammal	monkey face
\x{1F363}	554	🍣	2010	Food & Drink	food-asian	sushi
\x{1F957}	555	🥗	2016	Food & Drink	food-prepared	green salad
\x{2702 FE0F}	556	✂️	2010	Objects	office	scissors
\x{1F194}	557	🆔	2010	Symbols	alphanum	ID button
\x{1F511}	558	🔑	2010	Objects	lock	key
\x{1F474}	559	👴	2010	People & Body	person	old man
\x{1F934}	560	🤴	2016	People & Body	person-role	prince
\x{1F5E1 FE0F}	561	🗡️	2014	Objects	tool	dagger
\x{1F475}	562	👵	2010	People & Body	person	old woman
\x{1F933}	563	🤳	2016	People & Body	hand-prop	selfie
\x{1F9E8}	564	🧨	2018	Activities	event	firecracker
\x{2B1B}	565	⬛	2010	Symbols	geometric	black large square
\x{1F464}	566	👤	2010	People & Body	person-symbol	bust in silhouette
\x{1F3A9}	567	🎩	2010	Objects	clothing	top hat
\x{1F519}	568	🔙	2010	Symbols	arrow	BACK arrow
\x{1F96B}	569	🥫	2017	Food & Drink	food-prepared	canned food
\x{1F3DE FE0F}	570	🏞️	2014	Travel & Places	place-geographic	national park
\x{1F195}	571	🆕	2010	Symbols	alphanum	NEW button
\x{1F950}	572	🥐	2016	Food & Drink	food-prepared	croissant
\x{1F470}	573	👰	2010	People & Body	person-role	person with veil
\x{2660 FE0F}	574	♠️	2010	Activities	game	spade suit
\x{1F32C FE0F}	575	🌬️	2014	Travel & Places	sky & weather	wind face
\x{1F4B3}	576	💳	2010	Objects	money	credit card
\x{1F328 FE0F}	577	🌨️	2014	Travel & Places	sky & weather	cloud with snow
\x{1F577 FE0F}	578	🕷️	2014	Animals & Nature	animal-bug	spider
\x{1F1EF 1F1F5}	579	🇯🇵	2010	Flags	country-flag	flag: Japan
\x{1F41A}	580	🐚	2010	Animals & Nature	animal-marine	spiral shell
\x{1F306}	581	🌆	2010	Travel & Places	place-other	cityscape at dusk
\x{2693}	582	⚓	2010	Travel & Places	transport-water	anchor
\x{1F197}	583	🆗	2010	Symbols	alphanum	OK button
\x{1F1EC 1F1E7}	584	🇬🇧	2010	Flags	country-flag	flag: United Kingdom
\x{1F931}	585	🤱	2017	People & Body	person-role	breast-feeding
\x{1F46D}	586	👭	2015	People & Body	family	women holding hands
\x{1F987}	587	🦇	2016	Animals & Nature	animal-mammal	bat
\x{2716 FE0F}	588	✖️	2010	Symbols	math	multiply
\x{1F468}	589	👨	2010	People & Body	person	man
\x{1F575 FE0F}	590	🕵️	2014	People & Body	person-role	detective
\x{1F997}	591	🦗	2017	Animals & Nature	animal-bug	cricket
\x{1F469 200D 2764 FE0F 200D 1F48B 200D 1F468}	592	👩‍❤️‍💋‍👨	2015	People & Body	family	kiss: woman, man
\x{1F995}	593	🦕	2017	Animals & Nature	animal-reptile	sauropod
\x{1F3F9}	594	🏹	2015	Objects	tool	bow and arrow
\x{1F42E}	595	🐮	2010	Animals & Nature	animal-mammal	cow face
\x{1F6B2}	596	🚲	2010	Travel & Places	transport-ground	bicycle
\x{1F491}	597	💑	2010	People & Body	family	couple with heart
\x{1F6CF FE0F}	598	🛏️	2014	Objects	household	bed
\x{1F3CC FE0F}	599	🏌️	2014	People & Body	person-sport	person golfing
\x{1F692}	600	🚒	2010	Travel & Places	transport-ground	fire engine
\x{1F98E}	601	🦎	2016	Animals & Nature	animal-reptile	lizard
\x{1F989}	602	🦉	2016	Animals & Nature	animal-bird	owl
\x{1F402}	603	🐂	2015	Animals & Nature	animal-mammal	ox
\x{1F348}	604	🍈	2010	Food & Drink	food-fruit	melon
\x{1F6AD}	605	🚭	2010	Symbols	warning	no smoking
\x{1F418}	606	🐘	2010	Animals & Nature	animal-mammal	elephant
\x{1F699}	607	🚙	2010	Travel & Places	transport-ground	sport utility vehicle
\x{1F528}	608	🔨	2010	Objects	tool	hammer
\x{270F FE0F}	609	✏️	2010	Objects	writing	pencil
\x{23E9}	610	⏩	2010	Symbols	av-symbol	fast-forward button
\x{1F399 FE0F}	611	🎙️	2014	Objects	music	studio microphone
\x{1F4C4}	612	📄	2010	Objects	book-paper	page facing up
\x{1F94E}	613	🥎	2018	Activities	sport	softball
\x{1F512}	614	🔒	2010	Objects	lock	locked
\x{1F171 FE0F}	615	🅱️	2010	Symbols	alphanum	B button (blood type)
\x{1F3B1}	616	🎱	2010	Activities	game	pool 8 ball
\x{33 FE0F 20E3}	617	3️⃣	2010	Symbols	keycap	keycap: 3
\x{1F32A FE0F}	618	🌪️	2014	Travel & Places	sky & weather	tornado
\x{1F9B5}	619	🦵	2018	People & Body	body-parts	leg
\x{1F3CA}	620	🏊	2010	People & Body	person-sport	person swimming
\x{1F6F5}	621	🛵	2016	Travel & Places	transport-ground	motor scooter
\x{1F576 FE0F}	622	🕶️	2014	Objects	clothing	sunglasses
\x{1F50E}	623	🔎	2010	Objects	light & video	magnifying glass tilted right
\x{1F45F}	624	👟	2010	Objects	clothing	running shoe
\x{1F192}	625	🆒	2010	Symbols	alphanum	COOL button
\x{3030 FE0F}	626	〰️	2010	Symbols	punctuation	wavy dash
\x{1F531}	627	🔱	2010	Symbols	other-symbol	trident emblem
\x{1F98C}	628	🦌	2016	Animals & Nature	animal-mammal	deer
\x{1F948}	629	🥈	2016	Activities	award-medal	2nd place medal
\x{1F69A}	630	🚚	2010	Travel & Places	transport-ground	delivery truck
\x{2648}	631	♈	2010	Symbols	zodiac	Aries
\x{1F41C}	632	🐜	2010	Animals & Nature	animal-bug	ant
\x{1F3B2}	633	🎲	2010	Activities	game	game die
\x{1F4A0}	634	💠	2010	Symbols	geometric	diamond with a dot
\x{1F95D}	635	🥝	2016	Food & Drink	food-fruit	kiwi fruit
\x{1F9B6}	636	🦶	2018	People & Body	body-parts	foot
\x{1F47E}	637	👾	2010	Smileys & Emotion	face-costume	alien monster
\x{1F4AE}	638	💮	2010	Animals & Nature	plant-flower	white flower
\x{1F991}	639	🦑	2016	Food & Drink	food-marine	squid
\x{1F53A}	640	🔺	2010	Symbols	geometric	red triangle pointed up
\x{1F401}	641	🐁	2015	Animals & Nature	animal-mammal	mouse
\x{26C8 FE0F}	642	⛈️	2014	Travel & Places	sky & weather	cloud with lightning and rain
\x{1F40C}	643	🐌	2010	Animals & Nature	animal-bug	snail
\x{1F537}	644	🔷	2010	Symbols	geometric	large blue diamond
\x{1F456}	645	👖	2010	Objects	clothing	jeans
\x{1F6CD FE0F}	646	🛍️	2014	Objects	clothing	shopping bags
\x{1F492}	647	💒	2010	Travel & Places	place-building	wedding
\x{1F409}	648	🐉	2015	Animals & Nature	animal-reptile	dragon
\x{1F38D}	649	🎍	2010	Activities	event	pine decoration
\x{1F5DD FE0F}	650	🗝️	2014	Objects	lock	old key
\x{1F455}	651	👕	2010	Objects	clothing	t-shirt
\x{1F6BD}	652	🚽	2010	Objects	household	toilet
\x{1F365}	653	🍥	2010	Food & Drink	food-asian	fish cake with swirl
\x{1F350}	654	🍐	2015	Food & Drink	food-fruit	pear
\x{1F3EB}	655	🏫	2010	Travel & Places	place-building	school
\x{1F682}	656	🚂	2015	Travel & Places	transport-ground	locomotive
\x{1F510}	657	🔐	2010	Objects	lock	locked with key
\x{26C4}	658	⛄	2010	Travel & Places	sky & weather	snowman without snow
\x{2603 FE0F}	659	☃️	2014	Travel & Places	sky & weather	snowman
\x{2602 FE0F}	660	☂️	2014	Travel & Places	sky & weather	umbrella
\x{23F3}	661	⏳	2010	Travel & Places	time	hourglass not done
\x{26C5}	662	⛅	2010	Travel & Places	sky & weather	sun behind cloud
\x{1F51C}	663	🔜	2010	Symbols	arrow	SOON arrow
\x{1F963}	664	🥣	2017	Food & Drink	food-prepared	bowl with spoon
\x{1F38B}	665	🎋	2010	Activities	event	tanabata tree
\x{1F536}	666	🔶	2010	Symbols	geometric	large orange diamond
\x{1F538}	667	🔸	2010	Symbols	geometric	small orange diamond
\x{26D4}	668	⛔	2010	Symbols	warning	no entry
\x{30 FE0F 20E3}	669	0️⃣	2010	Symbols	keycap	keycap: 0
\x{1F9B8}	670	🦸	2018	People & Body	person-fantasy	superhero
\x{1F4FB}	671	📻	2010	Objects	music	radio
\x{1F1E6 1F1F7}	672	🇦🇷	2015	Flags	country-flag	flag: Argentina
\x{1F453}	673	👓	2010	Objects	clothing	glasses
\x{1F949}	674	🥉	2016	Activities	award-medal	3rd place medal
\x{1F405}	675	🐅	2015	Animals & Nature	animal-mammal	tiger
\x{1F4CA}	676	📊	2010	Objects	office	bar chart
\x{1F99D}	677	🦝	2018	Animals & Nature	animal-mammal	raccoon
\x{1F6AA}	678	🚪	2010	Objects	household	door
\x{1F698}	679	🚘	2014	Travel & Places	transport-ground	oncoming automobile
\x{1F471}	680	👱	2010	People & Body	person	person: blond hair
\x{2663 FE0F}	681	♣️	2010	Activities	game	club suit
\x{1F321 FE0F}	682	🌡️	2014	Travel & Places	sky & weather	thermometer
\x{1F9DC}	683	🧜	2017	People & Body	person-fantasy	merperson
\x{1F3E5}	684	🏥	2010	Travel & Places	place-building	hospital
\x{26F5}	685	⛵	2010	Travel & Places	transport-water	sailboat
\x{1F54B}	686	🕋	2015	Travel & Places	place-religious	kaaba
\x{1F4F0}	687	📰	2010	Objects	book-paper	newspaper
\x{1F487}	688	💇	2010	People & Body	person-activity	person getting haircut
\x{1F1E9 1F1EA}	689	🇩🇪	2010	Flags	country-flag	flag: Germany
\x{1F96C}	690	🥬	2018	Food & Drink	food-vegetable	leafy green
\x{1F428}	691	🐨	2010	Animals & Nature	animal-mammal	koala
\x{1F9F9}	692	🧹	2018	Objects	household	broom
\x{1F465}	693	👥	2015	People & Body	person-symbol	busts in silhouette
\x{1F1F0 1F1F7}	694	🇰🇷	2010	Flags	country-flag	flag: South Korea
\x{2B1C}	695	⬜	2010	Symbols	geometric	white large square
\x{1F4C6}	696	📆	2010	Objects	office	tear-off calendar
\x{1F956}	697	🥖	2016	Food & Drink	food-prepared	baguette bread
\x{1F429}	698	🐩	2010	Animals & Nature	animal-mammal	poodle
\x{1F93A}	699	🤺	2016	People & Body	person-sport	person fencing
\x{1F6C1}	700	🛁	2015	Objects	household	bathtub
\x{231B}	701	⌛	2010	Travel & Places	time	hourglass done
\x{1F53D}	702	🔽	2010	Symbols	av-symbol	downwards button
\x{1F549 FE0F}	703	🕉️	2014	Symbols	religion	om
\x{1F372}	704	🍲	2010	Food & Drink	food-prepared	pot of food
\x{1F998}	705	🦘	2018	Animals & Nature	animal-mammal	kangaroo
\x{1F965}	706	🥥	2017	Food & Drink	food-fruit	coconut
\x{1F6C0}	707	🛀	2010	People & Body	person-resting	person taking bath
\x{1F3CD FE0F}	708	🏍️	2014	Travel & Places	transport-ground	motorcycle
\x{1F5BC FE0F}	709	🖼️	2014	Activities	arts & crafts	framed picture
\x{1F4C5}	710	📅	2010	Objects	office	calendar
\x{1F4FF}	711	📿	2015	Objects	clothing	prayer beads
\x{1F55B}	712	🕛	2010	Travel & Places	time	twelve o’clock
\x{25AA FE0F}	713	▪️	2010	Symbols	geometric	black small square
\x{1F311}	714	🌑	2010	Travel & Places	sky & weather	new moon
\x{1F69B}	715	🚛	2015	Travel & Places	transport-ground	articulated lorry
\x{1F9FA}	716	🧺	2018	Objects	household	basket
\x{1F3CE FE0F}	717	🏎️	2014	Travel & Places	transport-ground	racing car
\x{1F4E1}	718	📡	2010	Objects	science	satellite antenna
\x{1F42D}	719	🐭	2010	Animals & Nature	animal-mammal	mouse face
\x{1F5FD}	720	🗽	2010	Travel & Places	place-building	Statue of Liberty
\x{1F193}	721	🆓	2010	Symbols	alphanum	FREE button
\x{1F3BE}	722	🎾	2010	Activities	sport	tennis
\x{1F1EB 1F1F7}	723	🇫🇷	2010	Flags	country-flag	flag: France
\x{1F3D0}	724	🏐	2015	Activities	sport	volleyball
\x{1F392}	725	🎒	2010	Objects	clothing	backpack
\x{1F19A}	726	🆚	2010	Symbols	alphanum	VS button
\x{1F30B}	727	🌋	2010	Travel & Places	place-geographic	volcano
\x{1F4C9}	728	📉	2010	Objects	office	chart decreasing
\x{1F469 200D 2764 FE0F 200D 1F468}	729	👩‍❤️‍👨	2015	People & Body	family	couple with heart: woman, man
\x{1F3D2}	730	🏒	2015	Activities	sport	ice hockey
\x{1F3D4 FE0F}	731	🏔️	2014	Travel & Places	place-geographic	snow-capped mountain
\x{1F550}	732	🕐	2010	Travel & Places	time	one o’clock
\x{1F999}	733	🦙	2018	Animals & Nature	animal-mammal	llama
\x{1F9D9}	734	🧙	2017	People & Body	person-fantasy	mage
\x{1F99F}	735	🦟	2018	Animals & Nature	animal-bug	mosquito
\x{1F0CF}	736	🃏	2010	Activities	game	joker
\x{1F6A2}	737	🚢	2010	Travel & Places	transport-water	ship
\x{1F64D}	738	🙍	2010	People & Body	person-gesture	person frowning
\x{1F4D5}	739	📕	2010	Objects	book-paper	closed book
\x{1F46C}	740	👬	2015	People & Body	family	men holding hands
\x{1F406}	741	🐆	2015	Animals & Nature	animal-mammal	leopard
\x{1F51B}	742	🔛	2010	Symbols	arrow	ON! arrow
\x{2755}	743	❕	2010	Symbols	punctuation	white exclamation mark
\x{1F452}	744	👒	2010	Objects	clothing	woman’s hat
\x{1F42A}	745	🐪	2015	Animals & Nature	animal-mammal	camel
\x{1F95F}	746	🥟	2017	Food & Drink	food-asian	dumpling
\x{2696 FE0F}	747	⚖️	2015	Objects	tool	balance scale
\x{1F9FC}	748	🧼	2018	Objects	household	soap
\x{1F376}	749	🍶	2010	Food & Drink	drink	sake
\x{1F1E8 1F1F4}	750	🇨🇴	2015	Flags	country-flag	flag: Colombia
\x{2197 FE0F}	751	↗️	2010	Symbols	arrow	up-right arrow
\x{1F3AA}	752	🎪	2010	Travel & Places	place-other	circus tent
\x{1F454}	753	👔	2010	Objects	clothing	necktie
\x{1F1E8 1F1F3}	754	🇨🇳	2010	Flags	country-flag	flag: China
\x{34 FE0F 20E3}	755	4️⃣	2010	Symbols	keycap	keycap: 4
\x{1F4CE}	756	📎	2010	Objects	office	paperclip
\x{1F99A}	757	🦚	2018	Animals & Nature	animal-bird	peacock
\x{1F360}	758	🍠	2010	Food & Drink	food-asian	roasted sweet potato
\x{1F968}	759	🥨	2017	Food & Drink	food-prepared	pretzel
\x{269C FE0F}	760	⚜️	2015	Symbols	other-symbol	fleur-de-lis
\x{1F36E}	761	🍮	2010	Food & Drink	food-sweet	custard
\x{1F397 FE0F}	762	🎗️	2014	Activities	event	reminder ribbon
\x{1F3E9}	763	🏩	2010	Travel & Places	place-building	love hotel
\x{1F403}	764	🐃	2015	Animals & Nature	animal-mammal	water buffalo
\x{1F505}	765	🔅	2015	Symbols	av-symbol	dim button
\x{1F1EA 1F1F8}	766	🇪🇸	2010	Flags	country-flag	flag: Spain
\x{1F3F0}	767	🏰	2010	Travel & Places	place-building	castle
\x{35 FE0F 20E3}	768	5️⃣	2010	Symbols	keycap	keycap: 5
\x{1F4EC}	769	📬	2014	Objects	mail	open mailbox with raised flag
\x{2795}	770	➕	2010	Symbols	math	plus
\x{1F58C FE0F}	771	🖌️	2014	Objects	writing	paintbrush
\x{1F6E1 FE0F}	772	🛡️	2014	Objects	tool	shield
\x{1F469 200D 2764 FE0F 200D 1F48B 200D 1F469}	773	👩‍❤️‍💋‍👩	2015	People & Body	family	kiss: woman, woman
\x{1F4DB}	774	📛	2010	Symbols	other-symbol	name badge
\x{1F40F}	775	🐏	2015	Animals & Nature	animal-mammal	ram
\x{1F3BA}	776	🎺	2010	Objects	musical-instrument	trumpet
\x{1F54C}	777	🕌	2015	Travel & Places	place-religious	mosque
\x{1F40B}	778	🐋	2015	Animals & Nature	animal-marine	whale
\x{1F94B}	779	🥋	2016	Activities	sport	martial arts uniform
\x{1F432}	780	🐲	2010	Animals & Nature	animal-reptile	dragon face
\x{274E}	781	❎	2010	Symbols	other-symbol	cross mark button
\x{1F3AB}	782	🎫	2010	Activities	event	ticket
\x{1F4E8}	783	📨	2010	Objects	mail	incoming envelope
\x{26EA}	784	⛪	2010	Travel & Places	place-religious	church
\x{1F992}	785	🦒	2017	Animals & Nature	animal-mammal	giraffe
\x{1F3A1}	786	🎡	2010	Travel & Places	place-other	ferris wheel
\x{1F9F1}	787	🧱	2018	Travel & Places	place-building	brick
